hour,draw_fraction,draw_volume_L,draw_mass_kg,cumulative_fraction
0,2.0862513186333876e-06,0.0006258753955900163,0.0006258753955900163,2.0862513186333876e-06
1,3.7496879528540074e-05,0.011249063858562022,0.011249063858562022,3.958313084717346e-05
2,0.00043211949612132383,0.12963584883639714,0.12963584883639714,0.0004717026269684973
3,0.00319295519828211,0.957886559484633,0.957886559484633,0.003664657825250607
4,0.01512732086794136,4.538196260382408,4.538196260382408,0.018791978693191966
5,0.04595274330924881,13.785822992774644,13.785822992774644,0.06474472200244077
6,0.08950372242327143,26.851116726981427,26.851116726981427,0.1542484444257122
7,0.11177662251974495,33.53298675592348,33.53298675592348,0.26602506694545713
8,0.08950372242359562,26.851116727078686,26.851116727078686,0.35552878936905274
9,0.04595274334372674,13.785823003118022,13.785823003118022,0.4014815327127795
10,0.015127323218813514,4.538196965644055,4.538196965644055,0.41660885593159297
11,0.003193057975546595,0.9579173926639785,0.9579173926639785,0.41980191390713956
12,0.0004350005098470557,0.1305001529541167,0.1305001529541167,0.42023691441698663
13,8.927828459176207e-05,0.026783485377528622,0.026783485377528622,0.4203261927015784
14,0.0005988226983433186,0.17964680950299555,0.17964680950299555,0.4209250153999217
15,0.004409393508257622,1.3228180524772866,1.3228180524772866,0.42533440890817936
16,0.020890111472369955,6.2670334417109865,6.2670334417109865,0.4462245203805493
17,0.06345855030916751,19.037565092750253,19.037565092750253,0.5096830706897169
18,0.12360037858475244,37.080113575425734,37.080113575425734,0.6332834492744693
19,0.15435819300345602,46.307457901036805,46.307457901036805,0.7876416422779253
20,0.12360037858451765,37.0801135753553,37.0801135753553,0.911242020862443
21,0.06345855028420075,19.037565085260226,19.037565085260226,0.9747005711466438
22,0.020890109770014258,6.267032931004278,6.267032931004278,0.995590680916658
23,0.004409319083341961,1.3227957250025884,1.3227957250025884,1.0
